study,arm,device,outcome,definition,time_years,estimate_pct,ci_low,ci_high,n_at_risk,source_location,confidence,source,retrieved_at
NOTION,TAVI,"CoreValve (1st/2nd generation, Medtronic)",enrolled (baseline),intention-to-treat enrollment,0,,,,145,Methods / Results para 1,high,"Thyregod HGH, Jorgensen TH, Ihlemann N, et al. Transcatheter or surgical aortic valve implantation: 10-year outcomes of the NOTION trial. Eur Heart J. 2024;45(13):1116-1124. PMCID PMC10984572.",2026-09-16T10:57:08Z
NOTION,SAVR,"mixed bioprosthesis (5 surgical valve types, mfr not itemised)",enrolled (baseline),intention-to-treat enrollment,0,,,,135,Methods / Results para 1,high,"Thyregod HGH, Jorgensen TH, Ihlemann N, et al. Transcatheter or surgical aortic valve implantation: 10-year outcomes of the NOTION trial. Eur Heart J. 2024;45(13):1116-1124. PMCID PMC10984572.",2026-09-16T10:57:08Z
NOTION,TAVI,CoreValve,all-cause mortality,"VARC-2, intention-to-treat",10,62.7,,,,"Table 1 (HR 1.0, 95%CI 0.7-1.3 vs SAVR, P=.8)",high,"Thyregod HGH, Jorgensen TH, Ihlemann N, et al. Transcatheter or surgical aortic valve implantation: 10-year outcomes of the NOTION trial. Eur Heart J. 2024;45(13):1116-1124. PMCID PMC10984572.",2026-09-16T10:57:08Z
NOTION,SAVR,mixed bioprosthesis,all-cause mortality,"VARC-2, intention-to-treat",10,64.0,,,,Table 1,high,"Thyregod HGH, Jorgensen TH, Ihlemann N, et al. Transcatheter or surgical aortic valve implantation: 10-year outcomes of the NOTION trial. Eur Heart J. 2024;45(13):1116-1124. PMCID PMC10984572.",2026-09-16T10:57:08Z
NOTION,TAVI,CoreValve,composite: all-cause mortality/stroke/MI,VARC-2,10,65.5,,,,"Results (HR 1.0, 95%CI 0.7-1.3, P=.9)",high,"Thyregod HGH, Jorgensen TH, Ihlemann N, et al. Transcatheter or surgical aortic valve implantation: 10-year outcomes of the NOTION trial. Eur Heart J. 2024;45(13):1116-1124. PMCID PMC10984572.",2026-09-16T10:57:08Z
NOTION,SAVR,mixed bioprosthesis,composite: all-cause mortality/stroke/MI,VARC-2,10,65.5,,,,Results,high,"Thyregod HGH, Jorgensen TH, Ihlemann N, et al. Transcatheter or surgical aortic valve implantation: 10-year outcomes of the NOTION trial. Eur Heart J. 2024;45(13):1116-1124. PMCID PMC10984572.",2026-09-16T10:57:08Z
NOTION,TAVI,CoreValve,moderate-or-severe SVD,"VARC-3 (""haemodynamic"" variant -- authors explicitly state they used gradient+regurgitation only, without the EOA/DVI component of the full VARC-3 SVD definition, because DVI was not systematically calculated)",10,15.4,,,,"Results / Figure 3 (HR 0.7, 95%CI 0.4-1.3, P=.3; as-implanted population)",high,"Thyregod HGH, Jorgensen TH, Ihlemann N, et al. Transcatheter or surgical aortic valve implantation: 10-year outcomes of the NOTION trial. Eur Heart J. 2024;45(13):1116-1124. PMCID PMC10984572.",2026-09-16T10:57:08Z
NOTION,SAVR,mixed bioprosthesis,moderate-or-severe SVD,"VARC-3 (""haemodynamic"" variant -- authors explicitly state they used gradient+regurgitation only, without the EOA/DVI component of the full VARC-3 SVD definition, because DVI was not systematically calculated)",10,20.8,,,,Results / Figure 3; as-implanted population,high,"Thyregod HGH, Jorgensen TH, Ihlemann N, et al. Transcatheter or surgical aortic valve implantation: 10-year outcomes of the NOTION trial. Eur Heart J. 2024;45(13):1116-1124. PMCID PMC10984572.",2026-09-16T10:57:08Z
NOTION,TAVI,CoreValve,severe SVD,"VARC-3 (""haemodynamic"" variant -- authors explicitly state they used gradient+regurgitation only, without the EOA/DVI component of the full VARC-3 SVD definition, because DVI was not systematically calculated)",10,1.5,0.04,0.7,,"Abstract + Results (value shown here is the point estimate; ci_low/ci_high columns hold the reported HAZARD RATIO's 95%CI [TAVI vs SAVR], not a CI on the % itself -- the source does not give a CI on the raw percentage) / Figure 3",high,"Thyregod HGH, Jorgensen TH, Ihlemann N, et al. Transcatheter or surgical aortic valve implantation: 10-year outcomes of the NOTION trial. Eur Heart J. 2024;45(13):1116-1124. PMCID PMC10984572.",2026-09-16T10:57:08Z
NOTION,SAVR,mixed bioprosthesis,severe SVD,"VARC-3 (""haemodynamic"" variant -- authors explicitly state they used gradient+regurgitation only, without the EOA/DVI component of the full VARC-3 SVD definition, because DVI was not systematically calculated)",10,10.0,,,,Abstract + Results / Figure 3,high,"Thyregod HGH, Jorgensen TH, Ihlemann N, et al. Transcatheter or surgical aortic valve implantation: 10-year outcomes of the NOTION trial. Eur Heart J. 2024;45(13):1116-1124. PMCID PMC10984572.",2026-09-16T10:57:08Z
